id_plato,id_restaurante,nombre,descripcion,precio_actual,esta_disponible
38,13,Choripán Clásico,Puro cerdo con chimichurri casero,5000.00,t
39,13,Provoleta,Fundida con orégano y ají molido,6500.00,t
40,14,Ojo de Bife,Corte premium de 400gr punto a elección,18500.00,t
41,14,Choripán Clásico,Puro cerdo con chimichurri casero,4500.00,t
42,14,Provoleta,Fundida con orégano y ají molido,6500.00,t
43,15,Ojo de Bife,Corte premium de 400gr punto a elección,19000.00,t
44,15,Choripán Clásico,Puro cerdo con chimichurri casero,5000.00,t
45,15,Provoleta,Fundida con orégano y ají molido,6500.00,t
46,16,Cuarto de Helado,Hasta 3 sabores a elección,5000.00,t
47,16,Kilo de Helado,Hasta 4 sabores a elección,15000.00,t
48,16,Cucurucho Bañado,Doble bocha con baño de chocolate,3000.00,t
49,17,Cuarto de Helado,Hasta 3 sabores a elección,4000.00,t
50,17,Kilo de Helado,Hasta 4 sabores a elección,14000.00,t
51,17,Cucurucho Bañado,Doble bocha con baño de chocolate,4500.00,t
52,18,Cuarto de Helado,Hasta 3 sabores a elección,4500.00,t
53,18,Kilo de Helado,Hasta 4 sabores a elección,14000.00,t
54,18,Cucurucho Bañado,Doble bocha con baño de chocolate,3500.00,t
55,19,Cuarto de Helado,Hasta 3 sabores a elección,5500.00,t
56,19,Kilo de Helado,Hasta 4 sabores a elección,13500.00,t
57,19,Cucurucho Bañado,Doble bocha con baño de chocolate,3000.00,t
58,20,Roll Salmon Avocado,8 piezas con salmón rosado y palta,12500.00,t
59,20,Nigiri de Salmón,5 piezas de corte grueso,8500.00,t
60,20,Gyozas de Cerdo,Empanaditas al vapor y selladas,6500.00,t
61,21,Ensalada Caesar,"Pollo grillado, crutones, parmesano y aderezo",8500.00,t
62,21,Wrap de Pollo,Tortilla integral con vegetales frescos,6000.00,t
63,21,Bowl de Quinoa,"Con palta, tomate cherry y huevo poché",8500.00,t
64,22,Ensalada Caesar,"Pollo grillado, crutones, parmesano y aderezo",8500.00,t
65,22,Wrap de Pollo,Tortilla integral con vegetales frescos,7000.00,t
66,22,Bowl de Quinoa,"Con palta, tomate cherry y huevo poché",9000.00,t
67,23,Ojo de Bife,Corte premium de 400gr punto a elección,17500.00,t
68,23,Choripán Clásico,Puro cerdo con chimichurri casero,3500.00,t
69,23,Provoleta,Fundida con orégano y ají molido,7000.00,t
70,24,Cuarto de Helado,Hasta 3 sabores a elección,5500.00,t
71,24,Kilo de Helado,Hasta 4 sabores a elección,15000.00,t
72,24,Cucurucho Bañado,Doble bocha con baño de chocolate,3500.00,t
73,25,Pizza Margarita,"Muzzarella, tomate fresco y albahaca",8500.00,t
74,25,Fugazzetta Rellena,Doble masa con extra queso y cebolla,11000.00,t
75,25,Empanada de Carne,"Frita, cortada a cuchillo",2500.00,t
76,26,Pizza Margarita,"Muzzarella, tomate fresco y albahaca",9000.00,t
77,26,Fugazzetta Rellena,Doble masa con extra queso y cebolla,12000.00,t
78,26,Empanada de Carne,"Frita, cortada a cuchillo",1000.00,t
79,27,Pizza Margarita,"Muzzarella, tomate fresco y albahaca",9000.00,t
80,27,Fugazzetta Rellena,Doble masa con extra queso y cebolla,11500.00,t
81,27,Empanada de Carne,"Frita, cortada a cuchillo",1500.00,t
82,28,Roll Salmon Avocado,8 piezas con salmón rosado y palta,12000.00,t
83,28,Nigiri de Salmón,5 piezas de corte grueso,8500.00,t
84,28,Gyozas de Cerdo,Empanaditas al vapor y selladas,7000.00,t
85,29,Ojo de Bife,Corte premium de 400gr punto a elección,19000.00,t
86,29,Choripán Clásico,Puro cerdo con chimichurri casero,4000.00,t
87,29,Provoleta,Fundida con orégano y ají molido,6000.00,t
88,30,Ojo de Bife,Corte premium de 400gr punto a elección,18500.00,t
89,30,Choripán Clásico,Puro cerdo con chimichurri casero,5000.00,t
90,30,Provoleta,Fundida con orégano y ají molido,7500.00,t
91,31,Ojo de Bife,Corte premium de 400gr punto a elección,18000.00,t
92,31,Choripán Clásico,Puro cerdo con chimichurri casero,4500.00,t
93,31,Provoleta,Fundida con orégano y ají molido,7000.00,t
94,32,Ojo de Bife,Corte premium de 400gr punto a elección,17500.00,t
95,32,Choripán Clásico,Puro cerdo con chimichurri casero,4500.00,t
96,32,Provoleta,Fundida con orégano y ají molido,6500.00,t
97,33,Roll Salmon Avocado,8 piezas con salmón rosado y palta,12500.00,t
98,33,Nigiri de Salmón,5 piezas de corte grueso,8500.00,t
99,33,Gyozas de Cerdo,Empanaditas al vapor y selladas,5500.00,t
100,34,Ojo de Bife,Corte premium de 400gr punto a elección,18000.00,t
101,34,Choripán Clásico,Puro cerdo con chimichurri casero,4000.00,t
102,34,Provoleta,Fundida con orégano y ají molido,6000.00,t
103,35,Ojo de Bife,Corte premium de 400gr punto a elección,17500.00,t
104,35,Choripán Clásico,Puro cerdo con chimichurri casero,4500.00,t
105,35,Provoleta,Fundida con orégano y ají molido,6500.00,t
106,36,Pizza Margarita,"Muzzarella, tomate fresco y albahaca",7500.00,t
107,36,Fugazzetta Rellena,Doble masa con extra queso y cebolla,10500.00,t
108,36,Empanada de Carne,"Frita, cortada a cuchillo",2000.00,t
109,37,Ensalada Caesar,"Pollo grillado, crutones, parmesano y aderezo",8500.00,t
110,37,Wrap de Pollo,Tortilla integral con vegetales frescos,7500.00,t
111,37,Bowl de Quinoa,"Con palta, tomate cherry y huevo poché",8500.00,t
112,38,Roll Salmon Avocado,8 piezas con salmón rosado y palta,13000.00,t
113,38,Nigiri de Salmón,5 piezas de corte grueso,10000.00,t
114,38,Gyozas de Cerdo,Empanaditas al vapor y selladas,6500.00,t
115,39,Pizza Margarita,"Muzzarella, tomate fresco y albahaca",8000.00,t
116,39,Fugazzetta Rellena,Doble masa con extra queso y cebolla,10500.00,t
117,39,Empanada de Carne,"Frita, cortada a cuchillo",1000.00,t
118,40,Doble Bacon Cheeseburger,"Dos medallones, cheddar, panceta y salsa",9500.00,t
119,40,Hamburguesa Veggie,Medallón de lentejas con lechuga y tomate,9500.00,t
120,40,Papas Fritas con Cheddar,Porción grande para compartir,5500.00,t
121,41,Pizza Margarita,"Muzzarella, tomate fresco y albahaca",7500.00,t
122,41,Fugazzetta Rellena,Doble masa con extra queso y cebolla,11000.00,t
123,41,Empanada de Carne,"Frita, cortada a cuchillo",2000.00,t
124,42,Pizza Margarita,"Muzzarella, tomate fresco y albahaca",7500.00,t
125,42,Fugazzetta Rellena,Doble masa con extra queso y cebolla,11500.00,t
126,42,Empanada de Carne,"Frita, cortada a cuchillo",2000.00,t
127,43,Pizza Margarita,"Muzzarella, tomate fresco y albahaca",9000.00,t
128,43,Fugazzetta Rellena,Doble masa con extra queso y cebolla,10500.00,t
129,43,Empanada de Carne,"Frita, cortada a cuchillo",1000.00,t
130,44,Ojo de Bife,Corte premium de 400gr punto a elección,19000.00,t
131,44,Choripán Clásico,Puro cerdo con chimichurri casero,4000.00,t
132,44,Provoleta,Fundida con orégano y ají molido,6500.00,t
133,45,Ensalada Caesar,"Pollo grillado, crutones, parmesano y aderezo",7000.00,t
134,45,Wrap de Pollo,Tortilla integral con vegetales frescos,6500.00,t
135,45,Bowl de Quinoa,"Con palta, tomate cherry y huevo poché",8000.00,t
136,46,Roll Salmon Avocado,8 piezas con salmón rosado y palta,13000.00,t
137,46,Nigiri de Salmón,5 piezas de corte grueso,10000.00,t
138,46,Gyozas de Cerdo,Empanaditas al vapor y selladas,6000.00,t
139,47,Doble Bacon Cheeseburger,"Dos medallones, cheddar, panceta y salsa",10500.00,t
140,47,Hamburguesa Veggie,Medallón de lentejas con lechuga y tomate,9500.00,t
141,47,Papas Fritas con Cheddar,Porción grande para compartir,5500.00,t
142,48,Ojo de Bife,Corte premium de 400gr punto a elección,18500.00,t
143,48,Choripán Clásico,Puro cerdo con chimichurri casero,5000.00,t
144,48,Provoleta,Fundida con orégano y ají molido,6000.00,t
145,49,Cuarto de Helado,Hasta 3 sabores a elección,5000.00,t
146,49,Kilo de Helado,Hasta 4 sabores a elección,13500.00,t
147,49,Cucurucho Bañado,Doble bocha con baño de chocolate,4500.00,t
148,50,Ensalada Caesar,"Pollo grillado, crutones, parmesano y aderezo",8000.00,t
149,50,Wrap de Pollo,Tortilla integral con vegetales frescos,7000.00,t
150,50,Bowl de Quinoa,"Con palta, tomate cherry y huevo poché",8500.00,t
