id_pedido,id_plato,cantidad,precio_unitario_historico
158,106,4,7500.00
159,136,2,13000.00
160,141,1,5500.00
160,139,3,10500.00
161,133,2,7000.00
161,134,4,6500.00
161,135,1,8000.00
162,14,1,9500.00
162,15,4,4500.00
163,42,1,6500.00
163,40,1,18500.00
164,70,1,5500.00
164,71,2,15000.00
165,109,1,8500.00
165,110,1,7500.00
166,26,4,9500.00
166,25,3,11500.00
167,6,2,1500.00
167,5,3,12000.00
168,19,2,10000.00
168,21,2,4500.00
169,88,1,18500.00
170,6,3,1500.00
171,77,4,12000.00
171,76,2,9000.00
171,78,4,1000.00
172,110,3,7500.00
172,111,4,8500.00
172,109,1,8500.00
173,31,2,8000.00
174,101,4,4000.00
174,100,3,18000.00
174,102,1,6000.00
175,142,3,18500.00
175,144,3,6000.00
175,143,3,5000.00
176,140,4,9500.00
177,36,2,7500.00
178,42,1,6500.00
179,148,1,8000.00
179,149,2,7000.00
180,69,1,7000.00
181,18,2,4500.00
181,17,2,9000.00
181,16,2,9500.00
182,42,3,6500.00
183,142,4,18500.00
183,143,1,5000.00
183,144,2,6000.00
184,66,1,9000.00
184,65,3,7000.00
185,123,4,2000.00
185,122,4,11000.00
186,32,4,6500.00
186,33,1,7500.00
187,106,2,7500.00
187,108,2,2000.00
188,53,3,14000.00
189,148,3,8000.00
189,149,3,7000.00
190,95,4,4500.00
190,94,4,17500.00
191,134,1,6500.00
191,133,1,7000.00
191,135,1,8000.00
192,84,4,7000.00
193,59,4,8500.00
194,69,1,7000.00
195,138,3,6000.00
195,137,3,10000.00
196,133,1,7000.00
196,135,4,8000.00
197,41,1,4500.00
197,42,4,6500.00
197,40,4,18500.00
198,139,3,10500.00
198,140,3,9500.00
199,22,4,11500.00
199,23,4,10000.00
199,24,2,5500.00
200,107,1,10500.00
200,108,2,2000.00
201,25,4,11500.00
202,21,3,4500.00
203,117,3,1000.00
203,115,1,8000.00
204,99,1,5500.00
205,56,3,13500.00
206,17,2,9000.00
206,18,4,4500.00
207,84,4,7000.00
207,83,4,8500.00
207,82,2,12000.00
208,26,3,9500.00
208,25,3,11500.00
208,27,2,6500.00
209,83,3,8500.00
209,84,2,7000.00
210,45,1,6500.00
210,43,3,19000.00
210,44,3,5000.00
211,135,1,8000.00
211,134,3,6500.00
211,133,1,7000.00
212,116,4,10500.00
213,21,2,4500.00
213,20,4,8500.00
213,19,4,10000.00
214,111,2,8500.00
214,110,1,7500.00
215,11,3,12000.00
215,12,1,2500.00
215,10,1,7500.00
216,62,2,6000.00
217,106,3,7500.00
217,107,1,10500.00
218,12,3,2500.00
218,10,1,7500.00
218,11,2,12000.00
219,148,3,8000.00
219,150,2,8500.00
219,149,1,7000.00
220,74,1,11000.00
221,144,1,6000.00
221,142,2,18500.00
222,126,1,2000.00
222,124,2,7500.00
223,108,3,2000.00
223,107,1,10500.00
223,106,1,7500.00
224,87,1,6000.00
225,136,1,13000.00
226,35,1,6000.00
227,16,1,9500.00
227,17,2,9000.00
228,91,3,18000.00
228,93,3,7000.00
228,92,3,4500.00
229,52,4,4500.00
230,112,1,13000.00
231,142,4,18500.00
231,144,3,6000.00
231,143,1,5000.00
232,106,4,7500.00
232,107,1,10500.00
232,108,2,2000.00
233,146,1,13500.00
233,147,1,4500.00
233,145,2,5000.00
234,24,2,5500.00
234,23,1,10000.00
234,22,4,11500.00
235,114,3,6500.00
236,110,4,7500.00
236,111,1,8500.00
236,109,3,8500.00
237,78,2,1000.00
238,55,4,5500.00
239,43,1,19000.00
240,37,3,18500.00
241,141,4,5500.00
241,140,4,9500.00
241,139,4,10500.00
242,147,2,4500.00
243,24,1,5500.00
243,22,1,11500.00
244,1,4,7500.00
244,2,4,11000.00
244,3,2,1500.00
245,110,4,7500.00
245,109,1,8500.00
245,111,4,8500.00
246,78,3,1000.00
246,77,4,12000.00
246,76,2,9000.00
247,53,1,14000.00
248,25,1,11500.00
248,26,1,9500.00
249,107,2,10500.00
250,75,4,2500.00
250,74,1,11000.00
250,73,2,8500.00
251,23,3,10000.00
252,133,3,7000.00
252,134,1,6500.00
252,135,1,8000.00
253,135,3,8000.00
254,29,3,8500.00
255,93,4,7000.00
255,91,1,18000.00
256,59,2,8500.00
257,31,3,8000.00
257,32,2,6500.00
257,33,4,7500.00
258,123,4,2000.00
258,122,1,11000.00
259,67,3,17500.00
259,68,2,3500.00
259,69,1,7000.00
260,28,1,11500.00
261,15,3,4500.00
261,14,1,9500.00
261,13,1,10000.00
262,73,1,8500.00
262,75,3,2500.00
262,74,4,11000.00
263,37,2,18500.00
264,60,4,6500.00
264,58,4,12500.00
265,7,3,9000.00
266,126,3,2000.00
266,124,1,7500.00
267,116,3,10500.00
268,125,3,11500.00
268,124,4,7500.00
268,126,4,2000.00
269,127,3,9000.00
269,128,4,10500.00
270,143,2,5000.00
271,117,4,1000.00
271,115,2,8000.00
272,77,2,12000.00
272,78,2,1000.00
273,72,2,3500.00
274,41,1,4500.00
274,42,1,6500.00
274,40,4,18500.00
275,119,3,9500.00
275,120,4,5500.00
275,118,1,9500.00
276,19,3,10000.00
276,21,3,4500.00
277,20,1,8500.00
277,21,2,4500.00
278,7,3,9000.00
278,9,1,2000.00
279,88,3,18500.00
279,90,2,7500.00
279,89,3,5000.00
280,31,2,8000.00
280,32,4,6500.00
280,33,1,7500.00
281,119,3,9500.00
281,118,3,9500.00
281,120,1,5500.00
282,128,1,10500.00
282,129,1,1000.00
282,127,1,9000.00
283,6,2,1500.00
284,32,4,6500.00
284,31,2,8000.00
285,105,3,6500.00
285,104,4,4500.00
286,31,1,8000.00
286,33,2,7500.00
286,32,4,6500.00
287,4,2,8000.00
287,5,3,12000.00
287,6,2,1500.00
288,98,4,8500.00
289,54,1,3500.00
290,36,4,7500.00
290,35,1,6000.00
291,90,1,7500.00
292,131,1,4000.00
293,105,3,6500.00
294,73,2,8500.00
294,75,2,2500.00
294,74,4,11000.00
295,140,1,9500.00
296,42,2,6500.00
296,40,1,18500.00
296,41,1,4500.00
297,115,1,8000.00
297,117,4,1000.00
297,116,4,10500.00
298,101,1,4000.00
299,98,2,8500.00
299,99,3,5500.00
300,101,3,4000.00
300,102,3,6000.00
300,100,3,18000.00
301,74,1,11000.00
301,75,3,2500.00
301,73,1,8500.00
302,22,4,11500.00
302,23,1,10000.00
303,44,2,5000.00
304,43,1,19000.00
305,27,4,6500.00
305,25,2,11500.00
305,26,1,9500.00
306,29,3,8500.00
306,28,2,11500.00
307,51,4,4500.00
308,78,3,1000.00
309,147,4,4500.00
310,102,4,6000.00
311,45,1,6500.00
311,43,1,19000.00
311,44,4,5000.00
312,130,3,19000.00
312,132,2,6500.00
313,25,1,11500.00
314,34,1,8500.00
314,35,3,6000.00
314,36,2,7500.00
315,97,3,12500.00
315,98,4,8500.00
315,99,3,5500.00
316,134,4,6500.00
317,115,1,8000.00
317,117,4,1000.00
317,116,2,10500.00
318,63,2,8500.00
318,61,2,8500.00
318,62,2,6000.00
319,14,1,9500.00
319,13,2,10000.00
319,15,2,4500.00
320,109,4,8500.00
321,111,4,8500.00
321,110,1,7500.00
321,109,2,8500.00
322,100,2,18000.00
322,102,4,6000.00
322,101,2,4000.00
323,92,3,4500.00
323,93,2,7000.00
324,62,3,6000.00
324,61,3,8500.00
324,63,4,8500.00
325,121,2,7500.00
325,123,2,2000.00
326,111,4,8500.00
326,110,4,7500.00
327,141,1,5500.00
327,139,3,10500.00
328,120,1,5500.00
329,41,3,4500.00
329,40,2,18500.00
330,74,4,11000.00
330,75,4,2500.00
330,73,4,8500.00
331,130,3,19000.00
331,131,4,4000.00
332,28,1,11500.00
332,30,4,6500.00
332,29,4,8500.00
333,103,1,17500.00
334,75,1,2500.00
334,74,3,11000.00
335,124,3,7500.00
336,108,4,2000.00
337,38,3,5000.00
337,39,4,6500.00
338,82,3,12000.00
338,83,3,8500.00
338,84,1,7000.00
339,63,2,8500.00
340,106,2,7500.00
341,77,4,12000.00
341,78,3,1000.00
341,76,4,9000.00
342,5,2,12000.00
342,6,3,1500.00
343,45,1,6500.00
344,89,2,5000.00
345,56,2,13500.00
345,55,3,5500.00
346,139,2,10500.00
346,140,4,9500.00
346,141,3,5500.00
347,115,4,8000.00
348,117,1,1000.00
348,116,2,10500.00
348,115,3,8000.00
349,76,2,9000.00
349,77,3,12000.00
349,78,3,1000.00
350,108,2,2000.00
350,107,1,10500.00
350,106,1,7500.00
351,119,2,9500.00
352,12,4,2500.00
352,11,4,12000.00
353,83,3,8500.00
353,82,4,12000.00
353,84,4,7000.00
354,87,2,6000.00
355,112,1,13000.00
355,113,2,10000.00
355,114,3,6500.00
356,70,4,5500.00
357,34,4,8500.00
358,109,1,8500.00
358,110,2,7500.00
359,22,2,11500.00
359,24,3,5500.00
359,23,2,10000.00
360,65,4,7000.00
360,66,2,9000.00
360,64,1,8500.00
361,69,3,7000.00
361,68,4,3500.00
362,88,1,18500.00
362,90,3,7500.00
363,28,2,11500.00
363,30,1,6500.00
363,29,1,8500.00
364,108,4,2000.00
364,106,2,7500.00
365,68,3,3500.00
365,69,2,7000.00
366,21,1,4500.00
366,19,2,10000.00
367,131,2,4000.00
368,54,4,3500.00
369,59,4,8500.00
369,58,4,12500.00
369,60,1,6500.00
370,72,1,3500.00
370,70,3,5500.00
371,53,1,14000.00
371,54,3,3500.00
371,52,2,4500.00
372,74,4,11000.00
372,75,2,2500.00
372,73,4,8500.00
373,3,4,1500.00
374,49,4,4000.00
374,50,3,14000.00
375,3,3,1500.00
376,142,1,18500.00
376,143,4,5000.00
377,56,4,13500.00
377,55,4,5500.00
378,53,1,14000.00
378,52,3,4500.00
378,54,3,3500.00
379,37,2,18500.00
379,38,2,5000.00
380,150,1,8500.00
381,127,1,9000.00
382,113,4,10000.00
382,114,3,6500.00
382,112,2,13000.00
383,18,4,4500.00
383,16,2,9500.00
384,144,3,6000.00
385,150,1,8500.00
385,148,4,8000.00
385,149,1,7000.00
386,125,4,11500.00
387,59,3,8500.00
387,60,4,6500.00
388,130,2,19000.00
389,86,4,4000.00
390,27,4,6500.00
390,26,4,9500.00
390,25,2,11500.00
391,39,3,6500.00
391,38,1,5000.00
392,90,4,7500.00
392,88,1,18500.00
393,133,4,7000.00
393,134,2,6500.00
394,38,2,5000.00
395,99,3,5500.00
396,109,2,8500.00
396,111,3,8500.00
396,110,1,7500.00
397,145,3,5000.00
397,147,4,4500.00
398,11,1,12000.00
399,137,3,10000.00
399,138,2,6000.00
400,32,4,6500.00
401,150,2,8500.00
402,93,4,7000.00
403,149,2,7000.00
403,148,3,8000.00
404,108,4,2000.00
405,138,4,6000.00
405,136,2,13000.00
405,137,3,10000.00
406,137,2,10000.00
406,138,4,6000.00
407,100,4,18000.00
407,102,4,6000.00
407,101,1,4000.00
408,144,4,6000.00
408,142,3,18500.00
408,143,2,5000.00
409,144,1,6000.00
409,143,2,5000.00
410,71,1,15000.00
411,3,4,1500.00
411,2,2,11000.00
412,44,2,5000.00
412,45,2,6500.00
413,49,2,4000.00
414,146,3,13500.00
414,145,1,5000.00
414,147,4,4500.00
415,74,4,11000.00
415,75,4,2500.00
415,73,3,8500.00
416,133,1,7000.00
416,134,4,6500.00
417,122,1,11000.00
417,123,3,2000.00
417,121,2,7500.00
418,133,2,7000.00
418,135,4,8000.00
418,134,1,6500.00
419,52,3,4500.00
419,54,1,3500.00
419,53,2,14000.00
420,149,1,7000.00
420,150,2,8500.00
421,42,2,6500.00
421,40,1,18500.00
421,41,2,4500.00
422,20,1,8500.00
423,71,3,15000.00
424,96,4,6500.00
425,78,2,1000.00
425,76,1,9000.00
425,77,3,12000.00
426,105,3,6500.00
426,104,1,4500.00
426,103,2,17500.00
427,43,3,19000.00
427,45,1,6500.00
428,62,4,6000.00
428,61,1,8500.00
428,63,1,8500.00
429,78,3,1000.00
430,6,4,1500.00
430,5,2,12000.00
430,4,3,8000.00
431,81,1,1500.00
431,79,4,9000.00
432,88,4,18500.00
432,89,1,5000.00
433,116,3,10500.00
434,138,3,6000.00
435,72,4,3500.00
435,70,1,5500.00
436,135,4,8000.00
436,133,2,7000.00
437,66,3,9000.00
437,65,3,7000.00
438,83,2,8500.00
438,82,1,12000.00
439,123,2,2000.00
439,122,3,11000.00
439,121,1,7500.00
440,81,3,1500.00
440,80,1,11500.00
441,138,1,6000.00
442,118,4,9500.00
442,119,1,9500.00
443,23,1,10000.00
444,35,2,6000.00
445,7,2,9000.00
445,9,1,2000.00
446,147,1,4500.00
446,145,2,5000.00
447,109,1,8500.00
447,110,1,7500.00
448,52,3,4500.00
448,54,4,3500.00
448,53,1,14000.00
449,127,4,9000.00
449,129,1,1000.00
449,128,1,10500.00
450,70,1,5500.00
450,71,2,15000.00
451,137,1,10000.00
451,138,2,6000.00
451,136,3,13000.00
452,121,2,7500.00
452,123,1,2000.00
452,122,3,11000.00
453,73,3,8500.00
453,74,3,11000.00
454,25,2,11500.00
454,26,2,9500.00
455,42,4,6500.00
455,40,1,18500.00
456,56,4,13500.00
457,85,2,19000.00
457,86,2,4000.00
458,62,2,6000.00
459,149,1,7000.00
459,150,2,8500.00
459,148,2,8000.00
460,131,4,4000.00
460,130,1,19000.00
460,132,3,6500.00
461,93,2,7000.00
461,92,3,4500.00
462,2,2,11000.00
462,1,3,7500.00
462,3,1,1500.00
463,69,4,7000.00
463,68,3,3500.00
463,67,3,17500.00
464,107,3,10500.00
464,108,1,2000.00
465,3,3,1500.00
465,2,4,11000.00
466,82,2,12000.00
467,48,1,3000.00
467,47,3,15000.00
468,99,1,5500.00
469,65,3,7000.00
470,74,3,11000.00
470,75,1,2500.00
471,11,1,12000.00
471,12,4,2500.00
471,10,1,7500.00
472,94,4,17500.00
472,96,4,6500.00
472,95,2,4500.00
473,39,1,6500.00
474,106,3,7500.00
475,90,2,7500.00
475,88,1,18500.00
475,89,4,5000.00
476,43,4,19000.00
477,50,3,14000.00
477,51,2,4500.00
477,49,4,4000.00
478,23,3,10000.00
478,22,3,11500.00
479,134,2,6500.00
479,133,1,7000.00
479,135,3,8000.00
480,119,2,9500.00
481,99,2,5500.00
481,97,2,12500.00
482,119,3,9500.00
482,118,1,9500.00
482,120,4,5500.00
483,108,4,2000.00
484,130,4,19000.00
484,132,1,6500.00
484,131,2,4000.00
485,138,3,6000.00
486,34,3,8500.00
486,35,3,6000.00
486,36,4,7500.00
487,75,3,2500.00
488,78,2,1000.00
488,77,3,12000.00
488,76,4,9000.00
489,105,1,6500.00
490,81,2,1500.00
490,79,2,9000.00
490,80,1,11500.00
491,76,1,9000.00
491,77,2,12000.00
491,78,2,1000.00
492,122,1,11000.00
493,93,1,7000.00
493,91,1,18000.00
493,92,4,4500.00
494,11,4,12000.00
494,10,2,7500.00
495,44,2,5000.00
496,143,4,5000.00
496,142,4,18500.00
496,144,1,6000.00
497,117,3,1000.00
497,115,3,8000.00
498,70,4,5500.00
498,71,2,15000.00
498,72,2,3500.00
499,32,3,6500.00
500,6,2,1500.00
500,4,4,8000.00
501,36,1,7500.00
501,35,2,6000.00
502,60,1,6500.00
503,44,1,5000.00
503,43,4,19000.00
503,45,3,6500.00
504,126,4,2000.00
504,124,2,7500.00
505,22,4,11500.00
505,24,2,5500.00
505,23,1,10000.00
506,148,2,8000.00
506,149,2,7000.00
506,150,3,8500.00
507,135,1,8000.00
507,134,1,6500.00
507,133,2,7000.00
508,6,3,1500.00
509,108,4,2000.00
510,119,4,9500.00
511,69,2,7000.00
511,67,2,17500.00
512,90,1,7500.00
512,88,2,18500.00
513,53,2,14000.00
513,54,4,3500.00
514,14,3,9500.00
515,100,1,18000.00
516,52,4,4500.00
516,54,3,3500.00
516,53,2,14000.00
517,91,3,18000.00
517,92,1,4500.00
518,14,2,9500.00
518,15,1,4500.00
519,71,2,15000.00
519,70,2,5500.00
520,34,3,8500.00
520,36,1,7500.00
521,98,1,8500.00
522,42,2,6500.00
522,41,2,4500.00
523,97,2,12500.00
523,98,1,8500.00
524,81,2,1500.00
524,80,3,11500.00
524,79,1,9000.00
525,9,3,2000.00
525,8,2,11500.00
525,7,3,9000.00
526,119,4,9500.00
526,120,1,5500.00
526,118,4,9500.00
527,89,1,5000.00
527,88,2,18500.00
528,83,4,8500.00
528,84,3,7000.00
529,76,3,9000.00
529,78,2,1000.00
530,73,4,8500.00
530,75,2,2500.00
530,74,1,11000.00
531,25,2,11500.00
532,94,3,17500.00
532,95,4,4500.00
533,90,4,7500.00
533,89,2,5000.00
533,88,4,18500.00
534,41,1,4500.00
534,42,2,6500.00
535,36,2,7500.00
535,34,1,8500.00
536,79,3,9000.00
536,80,1,11500.00
536,81,4,1500.00
537,104,3,4500.00
537,103,2,17500.00
538,92,3,4500.00
539,141,1,5500.00
540,90,4,7500.00
540,89,2,5000.00
541,78,4,1000.00
541,77,3,12000.00
541,76,4,9000.00
542,69,2,7000.00
542,68,1,3500.00
543,81,2,1500.00
543,80,4,11500.00
544,20,3,8500.00
544,21,4,4500.00
545,89,4,5000.00
545,90,1,7500.00
545,88,4,18500.00
546,149,3,7000.00
546,148,1,8000.00
547,30,1,6500.00
547,28,2,11500.00
548,79,2,9000.00
549,50,1,14000.00
549,49,1,4000.00
550,96,4,6500.00
551,134,2,6500.00
552,102,3,6000.00
553,29,2,8500.00
554,141,4,5500.00
554,139,3,10500.00
555,129,2,1000.00
555,128,4,10500.00
556,40,1,18500.00
556,42,3,6500.00
556,41,2,4500.00
557,41,2,4500.00
558,35,2,6000.00
558,36,4,7500.00
559,64,3,8500.00
559,66,1,9000.00
559,65,3,7000.00
560,89,1,5000.00
560,90,3,7500.00
561,90,1,7500.00
561,89,4,5000.00
561,88,4,18500.00
562,118,1,9500.00
563,100,2,18000.00
563,101,2,4000.00
563,102,1,6000.00
564,78,1,1000.00
564,76,2,9000.00
564,77,2,12000.00
565,9,4,2000.00
565,8,2,11500.00
566,31,1,8000.00
566,32,1,6500.00
567,54,3,3500.00
567,52,3,4500.00
568,123,1,2000.00
568,122,2,11000.00
569,113,4,10000.00
569,114,3,6500.00
570,55,1,5500.00
571,9,3,2000.00
571,7,4,9000.00
572,111,1,8500.00
573,85,4,19000.00
574,46,4,5000.00
575,66,4,9000.00
576,124,3,7500.00
576,125,1,11500.00
576,126,2,2000.00
577,91,3,18000.00
577,93,4,7000.00
578,10,4,7500.00
578,11,4,12000.00
578,12,4,2500.00
579,127,3,9000.00
580,103,1,17500.00
580,104,4,4500.00
581,26,1,9500.00
581,27,4,6500.00
581,25,2,11500.00
582,132,3,6500.00
583,17,1,9000.00
584,86,1,4000.00
584,87,4,6000.00
584,85,4,19000.00
585,72,2,3500.00
585,71,2,15000.00
585,70,1,5500.00
586,68,1,3500.00
586,67,2,17500.00
587,98,1,8500.00
587,97,1,12500.00
588,137,4,10000.00
588,138,3,6000.00
589,55,1,5500.00
589,57,3,3000.00
590,56,3,13500.00
591,52,1,4500.00
592,111,3,8500.00
593,116,2,10500.00
594,84,2,7000.00
594,82,2,12000.00
595,56,4,13500.00
595,55,2,5500.00
596,57,4,3000.00
596,55,1,5500.00
597,125,1,11500.00
598,4,2,8000.00
598,6,2,1500.00
599,123,1,2000.00
600,30,3,6500.00
600,28,4,11500.00
600,29,1,8500.00
601,6,2,1500.00
602,110,2,7500.00
602,109,4,8500.00
603,31,1,8000.00
603,32,2,6500.00
603,33,3,7500.00
604,99,1,5500.00
604,98,3,8500.00
604,97,1,12500.00
605,62,1,6000.00
605,61,4,8500.00
605,63,1,8500.00
606,107,4,10500.00
607,14,1,9500.00
607,13,3,10000.00
607,15,4,4500.00
608,74,4,11000.00
609,108,1,2000.00
610,150,3,8500.00
611,149,1,7000.00
612,55,3,5500.00
612,57,1,3000.00
612,56,3,13500.00
613,71,1,15000.00
613,70,4,5500.00
613,72,3,3500.00
614,99,1,5500.00
614,97,1,12500.00
614,98,2,8500.00
615,46,2,5000.00
615,48,2,3000.00
616,61,1,8500.00
616,63,2,8500.00
616,62,4,6000.00
617,113,4,10000.00
618,62,3,6000.00
619,130,2,19000.00
619,131,2,4000.00
619,132,4,6500.00
620,121,1,7500.00
620,123,1,2000.00
621,3,3,1500.00
622,94,1,17500.00
623,116,1,10500.00
623,115,3,8000.00
624,50,2,14000.00
624,49,1,4000.00
624,51,2,4500.00
625,145,3,5000.00
625,147,3,4500.00
625,146,1,13500.00
626,119,2,9500.00
627,7,2,9000.00
628,53,2,14000.00
628,52,1,4500.00
628,54,2,3500.00
629,113,3,10000.00
630,21,4,4500.00
630,20,1,8500.00
631,106,3,7500.00
631,108,4,2000.00
631,107,2,10500.00
632,134,2,6500.00
632,135,2,8000.00
632,133,2,7000.00
633,115,4,8000.00
634,120,3,5500.00
634,118,3,9500.00
634,119,1,9500.00
